Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
GDP (current US$),NY.GDP.MKTP.CD,Myanmar,MMR,545098447.6,605581577.3,634528872,598998418.7,411419905.8,367053117.2,293103478.5,420359035.9,559956130.3,571854214.6,563555630.8,587448405.5,662213082.7,719754655.4,1225589878,1061107354,1204699849,873579931.9,935408775,952265043.4,1038225167,1111000765,1481165468,1381573615,1304063253,1478908173,1582873750,1562448077,1541088312,2013448229,2115193513,2069832687,2411552289,3163020035,4432257174,5289174943,6123556717,4722288496,6459461639,8486832801,8905066164,6477790688,6777632512,10467109978,10567354056,11986972419,14502553710,20182477481,31862554102,36906181381,49540813342,59977326086,59937796648,60269732855,65531374200,59607290408,63298361996,66053040483,67860515990,75065106228,79006113643,66345291160,62253049892,64815031669
GDP (current US$),NY.GDP.MKTP.CD,Nauru,NRU,..,..,..,..,..,..,..,..,..,..,17570365.96,19009433.34,21734268.53,26529816.5,35994511.24,40106775.6,40287426.7,40444701.65,41754146.88,44431329.77,46947124.24,51689636.07,52877742.65,48439093.08,47363231.13,41548740.61,39939390.8,40118409.87,45931133.93,53736786.06,55572375.47,52533788.56,51133123.13,43542088.25,39742511.24,39969705.97,37458801.21,37331507.28,29664450.93,27328612.61,26930980.34,22613287.54,21017423.61,24778159.58,30587565.8,30070666.07,29200359.39,22766972.19,37602264.73,44176245.55,47562844.61,65071879.78,101055723,94385014.94,99149244.4,84863440.58,97541943.04,109355638.9,130995566.3,125160115.5,124685688.2,175390280.7,153824609.5,154127798.2
GDP (current US$),NY.GDP.MKTP.CD,New Caledonia,NCL,..,..,..,..,..,159594492.5,164206536.4,180036767.6,215507162.6,263108841.3,358815684.1,413985778.6,506808996.7,542293399.9,637403478.5,816652164.4,798313521.7,837620126.6,846004687.8,1047225724,1182463951,972564154.8,904599869.7,823857893.2,796066194.7,854820893.6,1201321514,1488093102,2072775508,2185082939,2529440424,2653780672,2923883281,2822243781,3038728385,3628440505,3606968436,3291131281,3556304833,3647802050,3420032041,3297734891,3740056748,4915353827,5895008978,6238629487,6979155388,8819917180,9067619760,8704438102,9364350077,10351448005,9659151917,10151382933,10635035595,8738203074,8724568955,9174048682,9896402284,9475655325,9454629468,10071349664,9623318718,..
GDP (current US$),NY.GDP.MKTP.CD,New Zealand,NZL,5536098606,5721995118,6133158805,6699741943,7340766741,5706251654,5917437956,6016017494,5228045647,5814357967,6495605619,7911136757,9567331065,12802281898,13940981798,12861983284,13604832424,15446825318,18530518395,20731243113,23244547385,24417617184,24164603059,24309279706,21665975319,24679795396,30604668357,40376354070,45176811594,43920222525,45495129385,42745329732,41649829860,46775620817,55314732279,63918703507,70140835299,66075143415,56227169851,58762260626,52623281957,53872425917,66627729311,88250885550,1.04E+11,1.15E+11,1.12E+11,1.37E+11,1.33E+11,1.21E+11,1.47E+11,1.68E+11,1.76E+11,1.91E+11,2.01E+11,1.78E+11,1.89E+11,2.07E+11,2.12E+11,2.13E+11,2.13E+11,2.54E+11,2.47E+11,2.53E+11
GDP (current US$),NY.GDP.MKTP.CD,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1284000000,1239000000,1210000000,1061000000,990000000,938000000,939000000,795000000,799000000,729000000,746000000,772000000,832000000,910000000,1230000000,1560000000,1301000000,1181000000,858000000,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Palau,PLW,..,..,..,..,..,..,..,..,..,..,11563041,12706874,13956474,15331889,16848759.47,18521112.49,20364419.71,22308104.44,24530014.55,27004250.99,29728053.55,32726593.75,36027582.71,39661530.18,44814259.43,51030636.67,58109314.44,66169904.91,75348614.96,85800542.78,97702303.05,106555300,104771300,96455700,106138500,121018500,137494600,143860800,149079600,144206500,149535827.6,159453506.5,162665542.6,154559875.5,166391555.8,191048400.9,193679687.5,200903640.7,201167343.1,189997985.8,188174270.6,198873916.6,215762390.1,224265167.2,245731216.4,287215972.9,305404174.8,292345764.2,288160980.2,281828704.8,261179138.2,229858184.8,242333709.7,263020733.7
GDP (current US$),NY.GDP.MKTP.CD,Papua New Guinea,PNG,230496036.9,244832039.2,261184041.8,275968044.2,305312048.8,344176055.1,390992062.6,441728182.7,485184189.6,551263864.2,645568215.3,717750278.1,858761926.1,1299079410,1467417672,1356603608,1511843235,1640746619,1947878831,2293760511,2545808456,2498190847,2368719683,2562351551,2552662617,2423339172,2647995602,3143851794,3656177881,3546472566,3219729083,3787394958,4377980510,4974550286,5502786070,4636057476,5155311077,4936615299,3789443015,3477038204,3521339699,3081024212,2999511040,3536411824,3927157867,4865892972,8354911041,9545028944,11670892801,11619456449,14250786675,17985138066,21295168666,21261338065,23210823987,21723437010,20758876953,22742699138,24109780708,24751066911,23848445104,26113333240,31603619037,30932496250
GDP (current US$),NY.GDP.MKTP.CD,Philippines,PHL,7515894111,8171194425,4954593072,5505023238,5953756195,6517349772,7189017888,7724873935,8632749269,9571800653,7559115517,8375075630,9067815521,11412449735,15607882555,16875240684,19381055197,22283109803,25762224563,31218296292,36848080899,40499388869,42206011275,37759179895,35730185634,34961486348,33987207295,37791488666,43152128959,48513773721,50508286642,51784144943,60422328242,62036529147,73159336915,84644328727,94648084429,94106317565,74492416330,85640171045,83669788255,78921234458,84307345888,87039092974,95001999685,1.07E+11,1.28E+11,1.56E+11,1.82E+11,1.76E+11,2.08E+11,2.34E+11,2.62E+11,2.84E+11,2.97E+11,3.06E+11,3.19E+11,3.28E+11,3.47E+11,3.77E+11,3.62E+11,3.94E+11,4.04E+11,4.37E+11
GDP (current US$),NY.GDP.MKTP.CD,Samoa,WSM,..,..,..,..,..,..,..,..,..,..,45208338.23,53719568.75,62566116.65,82452986.08,93549610.5,93489282.07,85003077.52,98295670.51,108223443.6,122257392.6,125747038.5,118190654.4,121221651.6,111862823.6,109200934.3,95572172.98,100947848.6,111713922.1,133016065.4,122888609.7,125766269.8,125597205.4,132303041.4,133122897.2,221098106.5,224865731.4,249907868.8,285475591.9,269485244.2,255408060.3,258856139.8,266299591.5,281790134.2,333426188.4,407747565.1,476801793.2,499923757.8,573548459.8,641346191.7,628006115.4,680260907.2,744097050.2,773141661.2,797736334.3,796683519.6,824150498.7,843924796.7,884844384.5,878448433.4,912950466.1,868898358.3,843923638.7,832945205.6,934100336.3
GDP (current US$),NY.GDP.MKTP.CD,Singapore,SGP,704751700.3,764629788.1,826239211.8,917608012.5,894153311.4,974644096.1,1096425608,1238035816,1425706091,1659893768,1920574150,2263785444,2721440981,3696213333,5221534956,5633673930,6327077974,6618585074,7517176355,9296921724,11896256783,14175228844,16084252378,17784112150,19749361098,19156532746,18586746057,20919215578,25371462488,30465364739,36144336769,45466164978,52131320033,60603815716,73688724431,87812540788,96293086513,1.00E+11,85728207782,86286849755,96076539926,89793790670,92538372870,97646401096,1.15E+11,1.28E+11,1.49E+11,1.81E+11,1.94E+11,1.94E+11,2.40E+11,2.79E+11,2.95E+11,3.08E+11,3.15E+11,3.08E+11,3.19E+11,3.43E+11,3.77E+11,3.77E+11,3.49E+11,4.34E+11,4.98E+11,5.01E+11
